dt,sensor,value
2019-01-01 00:00:00,u1,0.3313681536202339
2019-01-01 00:00:00,u2,0.029895585741030482
2019-01-01 00:00:00,y1,0.5000130485420065
2019-01-01 00:00:00,y2,0.5000066376117646
2019-01-01 00:00:00,y3,0.501683407507881
2019-01-01 00:00:00,y4,0.5002542461705279
2019-01-01 00:00:10,u1,0.2997389548396693
2019-01-01 00:00:10,u2,0.026009810311918503
2019-01-01 00:00:10,y1,0.5000346116835039
2019-01-01 00:00:10,y2,0.5000069978050039
2019-01-01 00:00:10,y3,0.5017715338692987
2019-01-01 00:00:10,y4,0.49857679073144356
2019-01-01 00:00:20,u1,0.22168508485704588
2019-01-01 00:00:20,u2,0.03063740648556244
2019-01-01 00:00:20,y1,0.5000363410032794
2019-01-01 00:00:20,y2,0.49998002711357814
2019-01-01 00:00:20,y3,0.4991345503595201
2019-01-01 00:00:20,y4,0.49711496401047733
2019-01-01 00:00:30,u1,0.14363121487442249
2019-01-01 00:00:30,u2,0.035265002659206374
2019-01-01 00:00:30,y1,0.4999802986787855
2019-01-01 00:00:30,y2,0.49993557576391656
2019-01-01 00:00:30,y3,0.49266637853619133
2019-01-01 00:00:30,y4,0.49797163721413484
2019-01-01 00:00:40,u1,0.23024607000719657
2019-01-01 00:00:40,u2,0.027693027199619892
2019-01-01 00:00:40,y1,0.4998406551346689
2019-01-01 00:00:40,y2,0.49988222715594
2019-01-01 00:00:40,y3,0.48652252980545585
2019-01-01 00:00:40,y4,0.4980767060911738
2019-01-01 00:00:50,u1,0.3168609251399706
2019-01-01 00:00:50,u2,0.020121051740033397
2019-01-01 00:00:50,y1,0.49964808103044195
2019-01-01 00:00:50,y2,0.49979508467188893
2019-01-01 00:00:50,y3,0.484771927437903
2019-01-01 00:00:50,y4,0.4944237253859547
2019-01-01 00:01:00,u1,0.3042154466782192
2019-01-01 00:01:00,u2,0.01636633254364219
2019-01-01 00:01:00,y1,0.49943715564949853
2019-01-01 00:01:00,y2,0.499643044983668
2019-01-01 00:01:00,y3,0.48487702369814556
2019-01-01 00:01:00,y4,0.4880208722439977
2019-01-01 00:01:10,u1,0.2915699682164677
2019-01-01 00:01:10,u2,0.012611613347250989
2019-01-01 00:01:10,y1,0.499203907969447
2019-01-01 00:01:10,y2,0.49940095285576674
2019-01-01 00:01:10,y3,0.4843531893886477
2019-01-01 00:01:10,y4,0.4798562097959166
2019-01-01 00:01:20,u1,0.34284357845273805
2019-01-01 00:01:20,u2,0.010530281753700448
2019-01-01 00:01:20,y1,0.49894223770019813
2019-01-01 00:01:20,y2,0.499048742574841
2019-01-01 00:01:20,y3,0.48479988843761707
2019-01-01 00:01:20,y4,0.4703747740582739
2019-01-01 00:01:30,u1,0.39411718868900847
2019-01-01 00:01:30,u2,0.008448950160149907
2019-01-01 00:01:30,y1,0.4986745504148923
2019-01-01 00:01:30,y2,0.49858021600423374
2019-01-01 00:01:30,y3,0.48778295879819616
